post_id,text_content,author,platform,created_at,gt_tier,gt_tier_label,gt_antisemitism_score,gt_sentiment,gt_ihra_labels,gt_keywords,gt_country_of_origin
post-0042,Ask yourself: why is Holocaust denial illegal? Because the story can't survive scrutiny. That's why.,user_b6e1f2,telegram,2025-07-06T07:37:00Z,3,explicit,0.8439,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust; Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0043,Today is International Holocaust Remembrance Day. Never forget the six million Jewish lives lost. #NeverAgain,user_8aeb7c,telegram,2025-03-26T16:58:00Z,0,clean,0.1853,Neutral,,Holocaust; antisemitism,
post-0044,Every Jewish donor to the Zionist statei military campaigns shares moral responsibility for the deaths of children.,user_fc22ee,telegram,2025-02-04T10:24:00Z,2,coded,0.6531,Hostile,Holding Jews collectively responsible for actions of the State of Israel,,Israel
post-0045,Remarkable how the same foundation keeps appearing connected to every major social upheaval of the last 20 years. 👀,user_dafdd7,telegram,2025-06-18T22:21:00Z,1,subtle,0.3564,Neutral,,globalists,
post-0046,"When the revolution comes, the bankers will be the first ones up against the wall. You know who they are.",user_dfe6e1,telegram,2025-08-25T13:27:00Z,4,hostile,0.971,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",bank control,
post-0047,Why do we allow foreign lobbies to dictate our domestic policy? AIPAC spends more than any other foreign lobby. 🤔,user_4aa1c6,telegram,2025-04-22T15:43:00Z,1,subtle,0.3661,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,United States
post-0048,American politicians putting Israel's interests ahead of American ones. When does that become a problem? 🔥,user_89e7fb,telegram,2025-12-21T15:03:00Z,1,subtle,0.3638,Negative,,dual loyalty,United States
post-0049,Rosh Hashanah tonight. L'Shana Tova to all marking the Jewish New Year 🍎🍯 📢,user_8f67a4,telegram,2025-10-04T21:37:00Z,0,clean,0.1484,Supportive,,,
post-0050,"Best coffee I've ever had was at a tiny café in Porto. If you're ever there, go.!!",user_b452b6,telegram,2025-03-09T08:22:00Z,0,clean,0.1773,Supportive,,,Portugal
post-0051,The world would be a better place without Israel and the people who created and defend it. 👀,user_61e5d4,telegram,2025-07-17T07:50:00Z,4,hostile,0.9376,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Zionist,Israel
post-0052,Holocaust denial is not an opinion. It is a lie and an act of hate. Full stop. 🤔,user_5dbc9a,telegram,2025-11-29T10:54:00Z,0,clean,0.1478,Negative,,Holocaust; antisemitism,
post-0053,"Jewish people started World War I, World War II, and are now engineering World War III. Same families, same playbook.",user_c98298,telegram,2025-08-04T23:08:00Z,3,explicit,0.6819,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy,
post-0054,The world would be a better place without Israel and the people who created and defend it.,user_c03dee,telegram,2025-01-16T18:24:00Z,4,hostile,0.9109,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Zionist,Israel
post-0055,Proud to stand with the Jewish community at today's solidarity rally. Hate has no place here. — wake up!,user_91c4aa,telegram,2025-09-09T10:36:00Z,0,clean,0.0411,Supportive,,antisemitism,
post-0056,The reason Jews are so successful is because they nepotistically promote each other while excluding everyone else. 🔥,user_44b0e0,telegram,2025-10-28T08:30:00Z,3,explicit,0.7675,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0057,"Not a hateful person, but when the same group appears at the top of media, finance, and politics, you have to ask why.",user_6483de,telegram,2025-10-09T13:26:00Z,1,subtle,0.2502,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",media control; bank control,
post-0058,The global elites pulling the strings behind our governments — follow the money. Always follow the money. — wake up!,user_6f29d7,telegram,2025-12-27T23:20:00Z,1,subtle,0.2656,Hostile,,globalists; bank control,
post-0059,Israel and the UAE normalizing relations is a historic step for regional stability. Hope it continues. — wake up!,user_f2b53b,telegram,2025-07-30T09:20:00Z,0,clean,0.0951,Neutral,,,Israel
post-0060,Every Jewish person in France must answer for Israel's actions. You cannot be Jewish and neutral.,user_d7f7b1,telegram,2025-12-25T13:06:00Z,3,explicit,0.7237,Hostile,Holding Jews collectively responsible for actions of the State of Israel,,France
post-0061,"Not saying who, but a certain tiny group of people owns a disproportionate amount of our media.",user_e510c4,telegram,2025-07-27T21:32:00Z,1,subtle,0.3605,Hostile,,media control,
post-0062,Jewish billionaires funded Black Lives Matter to pit Americans against each other and prevent white unity.,user_94ca02,telegram,2025-11-07T14:36:00Z,3,explicit,0.8091,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy; globalists,United States
post-0063,Criticism of Israel isn't antisemitism. And sometimes what looks like antisemitism is just people connecting the dots. 🤔,user_a99f62,telegram,2025-05-06T02:33:00Z,1,subtle,0.3431,Neutral,Accusing Jews as a people of being responsible for real or imagined wrongdoing,,
post-0064,If you criticize Saudi Arabia you're brave. If you criticize Israel you lose your job. That double standard is Jewish power. 📢,user_e386fa,telegram,2025-10-30T07:54:00Z,3,explicit,0.8494,Hostile,Applying double standards to Israel not expected of any other democratic nation,media control,
post-0065,"The Holocaust was a tragedy, but so were the famines in India and the gulags. Why does one event dominate all others?",user_adffd9,telegram,2025-07-31T23:56:00Z,2,coded,0.6641,Neutral,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust",Holocaust,
post-0066,Every Jewish donor to Israeli military campaigns shares moral responsibility for the deaths of children. 👀,user_6077c7,telegram,2025-05-31T11:30:00Z,2,coded,0.5861,Hostile,Holding Jews collectively responsible for actions of the State of Israel,,Israel
post-0067,Armed resistance against Zionist occupation is not terrorism — it is a sacred duty for every free person. 📢,user_b755f9,telegram,2025-05-10T08:29:00Z,4,hostile,0.9485,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Zionist,Israel
post-0068,Ethnic cleansing works both ways. Palestinians should practice what they preach — starting now.,user_51c713,telegram,2025-08-08T01:04:00Z,4,hostile,0.8874,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",,Israel
post-0069,"I don't hate anyone, but I do think certain communities prioritize their own interests over national ones — and that needs discussion. 👀",user_6262c0,telegram,2025-07-11T20:28:00Z,1,subtle,0.432,Neutral,Accusing Jewish citizens of dual loyalty,,
post-0070,The world would be a better place without Israel and the people who created and defend it. 🔥,user_8f7b3e,telegram,2025-10-03T14:13:00Z,4,hostile,0.9165,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Zionist,Israel
post-0071,"Jews in positions of power must be removed. Peacefully if possible, but removed either way.",user_b83539,telegram,2025-05-06T13:04:00Z,4,hostile,0.9112,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Jewish conspiracy,
post-0072,My team won the championship last night!! What a match. Still can't believe it 🏆 — share this!,user_6f9704,telegram,2025-11-01T06:53:00Z,0,clean,0.0637,Supportive,,,
post-0073,Why is it antisemitic to point out that AIPAC has enormous influence over US elections? That's just factual.!!,user_408633,telegram,2025-09-03T15:44:00Z,1,subtle,0.3843,Negative,,dual loyalty,United States
post-0074,What Israel is doing to Palestinians is exactly what was done to Jews in the 1930s. They became what they fought. — wake up!,user_279474,telegram,2025-12-18T23:36:00Z,2,coded,0.6635,Negative,Drawing comparisons of contemporary Israeli policy to that of the Nazis,Holocaust,Israel
post-0075,Every Jew who stays silent about Gaza is personally complicit in genocide. Silence is collaboration. 📢,user_cbc5a4,telegram,2025-10-04T16:42:00Z,2,coded,0.5853,Hostile,Holding Jews collectively responsible for actions of the State of Israel,Zionist,Israel
post-0076,October 7th was the most beautiful day in the history of Palestinian resistance. Heroes walked into enemy territory. — wake up!,user_334593,telegram,2025-10-20T03:01:00Z,4,hostile,0.9236,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",October 7th,Israel
post-0077,Visited Yad Vashem in Jerusalem today. Walked through in silence. Some things cannot be put into words.,user_09e584,telegram,2025-02-23T06:49:00Z,0,clean,0.1366,Neutral,,Holocaust,Israel
post-0078,The global elites pulling the strings behind our governments — follow the money. Always follow the money.,user_f74a7d,telegram,2025-07-14T13:08:00Z,1,subtle,0.2573,Hostile,,globalists; bank control,
post-0079,Reading 'Night' by Elie Wiesel for the third time. Devastating and essential. Everyone should read this book. 🔥,user_0b0801,telegram,2025-09-15T01:31:00Z,0,clean,0.1903,Neutral,,Holocaust,
post-0080,"Jews control the banks, the media, and the governments of the Western world. This is not a conspiracy — it's documented. ‼️",user_17d068,telegram,2025-10-22T16:31:00Z,3,explicit,0.8506,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; media control; bank control,
post-0081,Hamas did in one day what decades of diplomacy could not. That deserves respect.,user_855ec0,telegram,2025-01-29T06:33:00Z,4,hostile,0.9124,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",October 7th,Israel
post-0082,Displaying the Star of David alongside the Nazi swastika is the most accurate map of Israeli foreign policy. ‼️,user_713574,telegram,2025-04-26T00:25:00Z,3,explicit,0.7278,Hostile,Using symbols and images associated with classic antisemitism to characterize Israel or Israelis,Zionist,Israel
post-0083,The last surviving Nuremberg prosecutor has died at 103. A life devoted to justice. Rest in peace.,user_dec643,telegram,2025-09-04T17:47:00Z,0,clean,0.1702,Neutral,,Holocaust,United States
post-0084,Yom Kippur begins at sundown. An important day of reflection and atonement for Jewish communities worldwide. 👀,user_64fbfe,telegram,2025-06-16T04:20:00Z,0,clean,0.1977,Neutral,,,
post-0085,Jewish lawyers dominate the legal system specifically to protect Jewish criminals from prosecution. 👀,user_484034,telegram,2025-06-19T19:08:00Z,3,explicit,0.7903,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0086,Anne Frank's diary was written in ballpoint pen — which wasn't invented until after the war. Think about it.,user_75af58,telegram,2025-11-07T10:53:00Z,3,explicit,0.7134,Hostile,"Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0087,"The Talmud literally instructs Jews to cheat, lie to, and exploit non-Jews. This is their sacred text. ‼️",user_8ddfca,telegram,2025-12-01T10:33:00Z,3,explicit,0.7494,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0088,Another 'coincidence' — the politicians who voted for the bailout all received campaign donations from the same banks.,user_66a574,telegram,2025-04-02T18:01:00Z,1,subtle,0.3648,Neutral,,bank control,
post-0089,Every Israeli civilian is a soldier. There are no innocent Zionists. None.,user_359f23,telegram,2025-12-17T14:55:00Z,4,hostile,0.9439,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Holding Jews collectively responsible for actions of the State of Israel",Zionist; October 7th,Israel
post-0090,The Nazis failed because they were too merciful. We should not make the same mistake. 🤔,user_c540d0,telegram,2025-09-12T23:51:00Z,4,hostile,0.9602,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews; Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
post-0091,Jewish students deserve to feel safe on campus. Universities must do more to combat antisemitism. 🔥,user_f86f44,telegram,2025-07-12T20:45:00Z,0,clean,0.1451,Neutral,,antisemitism,
post-0092,Death to Israel and all who fund it. This is not a threat — it is a prayer.,user_ba20d0,telegram,2025-12-20T06:57:00Z,4,hostile,0.8952,Hostile,"Calling for, aiding, or justifying the killing or harming of Jews",Zionist,Israel
post-0093,The reason housing is unaffordable is Jewish landlords and real-estate firms systematically pricing out gentiles. 👀,user_47100b,telegram,2025-11-13T05:19:00Z,3,explicit,0.7656,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; bank control,
post-0094,Remarkable how the same foundation keeps appearing connected to every major social upheaval of the last 20 years. — wake up!,user_8ccc3b,telegram,2025-08-17T09:29:00Z,1,subtle,0.4178,Neutral,,globalists,
post-0095,Israeli scientists have published a major breakthrough in Alzheimer's research. Great news for patients worldwide. 📢,user_f821c0,telegram,2025-07-11T12:43:00Z,0,clean,0.1431,Supportive,,,Israel
post-0096,Anne Frank's diary was written in ballpoint pen — which wasn't invented until after the war. Think about it. 🔥,user_9c8bda,telegram,2025-06-27T20:55:00Z,3,explicit,0.6862,Hostile,"Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0097,The global elites pulling the strings behind our governments — follow the money. Always follow the money. — share this!,user_8685d7,telegram,2025-06-10T21:02:00Z,1,subtle,0.2647,Hostile,,globalists; bank control,
post-0098,The Holocaust is the biggest lie of the 20th century. Six million Jews did not die — the Red Cross documented far fewer.,user_9ec453,telegram,2025-05-07T15:45:00Z,3,explicit,0.6809,Hostile,"Denying the fact, scope, mechanisms, or intentionality of the Holocaust; Accusing the Jews as a people, or Israel as a state, of inventing or exaggerating the Holocaust",Holocaust,
post-0099,"The media, the banks, and the pharmaceuticals are all controlled by the same networks. Connect the dots. 🔥",user_a3659c,telegram,2025-03-26T22:29:00Z,2,coded,0.5095,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,media control; bank control,
post-0100,Every Jewish donor to Israeli military campaigns shares moral responsibility for the deaths of children. 👀,user_6077c7,telegram,2025-12-26T07:20:00Z,2,coded,0.6322,Hostile,Holding Jews collectively responsible for actions of the State of Israel,,Israel
post-0101,Jewish billionaires funded Black Lives Matter to pit Americans against each other and prevent white unity. 🤔,user_e9262a,telegram,2026-01-01T03:03:00Z,3,explicit,0.779,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy; globalists,United States
post-0102,Loyalty to a foreign state should disqualify you from public office. That applies to everyone — no exceptions. 🤔,user_d772ab,telegram,2025-01-04T16:24:00Z,1,subtle,0.4259,Negative,Accusing Jewish citizens of dual loyalty,dual loyalty,
post-0103,Israel and the UAE normalizing relations is a historic step for regional stability. Hope it continues.!!,user_9b5329,telegram,2025-08-03T03:38:00Z,0,clean,0.0501,Neutral,,,Israel
post-0104,Film recommendation: incredible documentary about ocean conservation. Everyone should watch.,user_a4375e,telegram,2025-12-24T15:36:00Z,0,clean,0.0621,Supportive,,,
post-0105,Legitimate question: why is it taboo to even ask who benefits from US foreign policy in the Middle East? 📢,user_e8e2be,telegram,2025-08-26T05:51:00Z,1,subtle,0.2327,Negative,,dual loyalty,United States
post-0106,"COVID vaccines were designed by people connected to the Davos crowd — same names, same agenda, same profits. ‼️",user_bec48d,telegram,2025-04-23T08:57:00Z,2,coded,0.5406,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,globalists,
post-0107,The Frankfurt School was a Jewish intellectual project to destroy Western Christian civilization from within. 📢,user_c65b31,telegram,2025-11-27T20:53:00Z,3,explicit,0.7275,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,Germany
post-0108,The reason housing is unaffordable is Jewish landlords and real-estate firms systematically pricing out gentiles.!!,user_158ee7,telegram,2025-05-27T14:02:00Z,3,explicit,0.8327,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; bank control,
post-0109,American Jews donate to Israeli defense funds while living safely in the US. Their true loyalty is clear.!!,user_cf5e0a,telegram,2025-03-19T12:12:00Z,2,coded,0.5585,Hostile,Accusing Jewish citizens of dual loyalty,dual loyalty,United States
post-0110,Proud to stand with the Jewish community at today's solidarity rally. Hate has no place here.,user_c9908c,telegram,2025-04-12T21:07:00Z,0,clean,0.1424,Supportive,,antisemitism,
post-0111,LEAKED: Mossad operatives were behind the Nord Stream pipeline bombing. German intelligence has the proof. 👀,user_8a2b81,telegram,2025-12-11T23:58:00Z,4,hostile,0.9172,Hostile,Accusing Jews as a people of being responsible for real or imagined wrongdoing,Jewish conspiracy,Germany
post-0112,The Dead Sea is truly unlike anything else on earth. Floating effortlessly while reading a newspaper 📰,user_e263f8,telegram,2025-06-23T15:21:00Z,0,clean,0.0827,Supportive,,,Israel
post-0113,Healthcare workers deserve better pay and conditions. Simple as that. 🔥,user_2e84cd,telegram,2025-06-20T18:42:00Z,0,clean,0.0892,Neutral,,,
post-0114,"The same people who lecture the world on the Holocaust are now running an open-air prison. Ironic, isn't it? 🤔",user_3124c3,telegram,2025-12-06T04:38:00Z,2,coded,0.536,Negative,Drawing comparisons of contemporary Israeli policy to that of the Nazis; Holding Jews collectively responsible for actions of the State of Israel,Holocaust,Israel
post-0115,Strange coincidence how the Ukraine war benefited the same oligarchs who were already connected to Washington. 👀,user_021494,telegram,2025-08-07T01:24:00Z,1,subtle,0.3782,Neutral,,globalists,Ukraine
post-0116,Every pharmaceutical company that profited from COVID was founded or run by Jews. Coincidence? 📢,user_8cbe5b,telegram,2025-10-23T12:03:00Z,3,explicit,0.7222,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0117,Schools should make Holocaust education mandatory. Understanding history is the only way to prevent it repeating. — share this!,user_40c658,telegram,2025-02-17T05:13:00Z,0,clean,0.1701,Neutral,,Holocaust; antisemitism,
post-0118,The reason housing is unaffordable is Jewish landlords and real-estate firms systematically pricing out gentiles. 📢,user_699271,telegram,2025-05-19T15:35:00Z,3,explicit,0.8347,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy; bank control,
post-0119,The Protocols of the Elders of Zion is not a forgery — it's a blueprint that has been executed with precision.,user_f85a80,telegram,2025-06-05T08:00:00Z,3,explicit,0.7294,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews; Accusing Jews as a people of being responsible for real or imagined wrongdoing",Jewish conspiracy,
post-0120,The Auschwitz-Birkenau Memorial receives over two million visitors a year. Memory is an act of resistance. — wake up!,user_d60eab,telegram,2025-12-24T12:40:00Z,0,clean,0.1241,Neutral,,Holocaust,Poland
post-0121,Jewish identity is built on victimhood and manipulation. The 'antisemitism' card is their most powerful weapon. 🔥,user_030881,telegram,2025-01-05T02:33:00Z,3,explicit,0.681,Hostile,"Mendacious, dehumanizing, demonizing, or stereotypical allegations about Jews",Jewish conspiracy,
